category,brand,name,price,features
"AV over IP & Streaming","Q-SYS NV Series","NV-21-HU 2x1 Endpoint",1500.00,"Software-configurable as encoder or decoder; 2 HDMI inputs, 1 USB-C input; for Q-SYS Ecosystem"
"AV over IP & Streaming","Matrox (Maevex/Convert)","Maevex 6152 Quad 4K Encoder",3995.00,"Encodes four 4K streams simultaneously; H.264/H.265; SRT support"
"Digital Signage Players & CMS","BrightSign","XT245 Standard I/O Player",550.00,"Plays 4K HDR video; H.265; Mainstream HTML5 engine; PoE+"
"Digital Signage Players & CMS","Samsung MagicINFO","MagicINFO Unified License",250.00,"Content and device management software for Samsung displays (per device)"
"Wireless Presentation","Barco ClickShare","C-10 Wireless Presentation Button",850.00,"Single button and base unit for wireless screen sharing in meeting rooms"
"Wireless Presentation","Mersive Solstice","Solstice Pod Gen3",1399.00,"Unlimited users sharing content; 4K wireless streaming; Centralized management"
"Mounts, Racks & Enclosures","Chief (Legrand AV)","Fusion XSM1U Large Fixed Wall Mount",399.00,"For 55"" to 100"" displays; Post-installation leveling; Kickstand for cable access"
"Mounts, Racks & Enclosures","Middle Atlantic (Legrand AV)","Bgr-4130 41U Rack Enclosure",1800.00,"41 RU; 30"" deep; Pre-installed cooling fans and cable management"
"Cables, Connectors & Infrastructure","Belden","4K UHD Coax Cable for 12G-SDI",3.50,"Per foot pricing; RG-6 type; Designed for 4K signal transmission"
"Cables, Connectors & Infrastructure","Neutrik","etherCON CAT6A Panel Connector",25.00,"Ruggedized and lockable RJ45 connector for pro audio and AV networking"
"Network Switches (AV-friendly)","NETGEAR (M4250/M4350 AV Line)","M4250-10G2F-PoE+ (GSM4212P)",699.00,"8x1G PoE+, 2x1G, 2xSFP; Pre-configured for AV-over-IP"
"Room Scheduling & Touch Panels","Crestron","TSS-1070 10.1"" Room Scheduling Touch Screen",1800.00,"10.1"" wall-mount touch screen; Supports various scheduling platforms; PoE"
"Assistive Listening & Hearing Loop","Listen Technologies","Listen EVERYWHERE LW-200P-08",2499.00,"8-channel Wi-Fi audio streaming server; Guests use their own smartphones and headphones"
"Power, UPS & PDU","SurgeX","SEQ-1215i Rackmount Sequencer",599.00,"15A power sequencer with 9 outlets; Advanced Series Mode surge protection"
"Lecture Capture & Recording","Epiphan (Pearl)","Pearl Nano",1695.00,"Compact hardware encoder for streaming and recording; HDMI and SDI inputs"
"Interactive Displays & Classroom Tech","SMART Technologies","Board 6000S V3 Pro 75"" Interactive Display",4500.00,"4K UHD; HyPr Touch with InGlass; Object Awareness; Integrated Android"
"Acoustics & Sound Masking","Biamp (Cambridge/Qt X)","Qt X 300 Control Module",1100.00,"3-zone sound masking generator; Network controllable; For office and commercial spaces"
"AV Bridges & Specialty I/O","Vaddio (AV Bridge)","AV Bridge 2x1",1899.00,"Combines two audio/video sources into a single USB 3.0 stream for PC conferencing"
