category,brand,name,price,features,tier,use_case_tags,compatibility_tags
"UC & Collaboration Devices","Neat","Neat Board SE 65"" Collaboration Display",5990.0,"65"" 4K interactive display with integrated camera, mic, speakers","Premium","boardroom,collaboration,meeting_room","neat_os,teams,zoom"
"Mounts & Racks","Neat","Neat Board Wall Mount",250.0,"Official wall mounting kit for the Neat Board","Standard","boardroom,meeting_room","neat_board"
"Mounts & Racks","Neat","Neat Board Rolling Floor Stand",1200.0,"Mobile floor stand with casters for Neat Board","Premium","classroom,flexible_space","neat_board"
"Video Conferencing","DTEN","D-AIO 55"" Interactive Display",2999.0,"55"" All-in-one Zoom Rooms appliance with 4K camera and 16-mic array","Standard","collaboration,huddle_room,small_room","dten_os,zoom"
"Mounts & Racks","Chief","MTM1U Medium FUSION Tilt Mount",199.0,"Tilting wall mount for medium flat panel displays","Standard","huddle_room,meeting_room","vesa"
"UC & Collaboration Devices","Logitech","TAP IP Controller",699.0,"Network-connected touch controller for meeting rooms (Teams, Zoom, etc.)","Standard","boardroom,huddle_room,meeting_room","logitech_sync,teams,zoom"
"Room Scheduling","Logitech","Tap Scheduler",699.0,"10.1"" scheduling panel for meeting rooms; Mounts outside the room","Standard","boardroom,meeting_room","logitech_sync,room_booking"
"Displays & Projectors","LG","65UH5N-E 65"" UHD Signage Display",1799.0,"4K UHD; 500 nits brightness; webOS Signage platform","Premium","lobby,medium_room,signage,visuals","lg_supersign"
"Digital Signage","BrightSign","XT1144 Expanded I/O Player",650.0,"4K HDR media player with GPIO, serial, and dual USB ports","Premium","interactive,signage","brightsign"
"Displays & Projectors","LG","55UH5N-E 55"" UHD Signage Display",1299.0,"4K UHD; 500 nits brightness; webOS Signage platform","Premium","lobby,medium_room,signage,visuals","lg_supersign"
"Video Conferencing","Logitech","Rally Bar Huddle",1799.0,"All-in-one video bar for huddle and small rooms; 4K AI camera","Economy","huddle_room,small_room","logitech_sync,teams,zoom"
"Displays & Projectors","LG","75UH5J-H 75"" UHD Signage Display",2499.0,"4K UHD; 500 nits brightness; 24/7 operation; webOS","Premium","boardroom,large_room,visuals","lg_supersign"
"Video Conferencing","Logitech","Rally Plus System",5499.0,"Modular 4K video conferencing system for large rooms; includes 2 speakers and 2 mic pods","Premium","boardroom,large_room","logitech_sync,teams,zoom"
"Video Conferencing","Yealink","A30 MeetingBar Teams Edition",2799.0,"All-in-one video bar with CTP18 touch console; Certified for Microsoft Teams","Standard","meeting_room","teams,yealink_mgr"
"Wireless Presentation","Yealink","WPP30 Wireless Presentation Pod",399.0,"Plug-and-play 4K wireless content sharing dongle","Standard","boardroom,meeting_room","yealink_byod"
"Audio: Microphones & Conferencing","Yealink","VCM36-W Wireless Microphone",299.0,"Wi-Fi based wireless expansion microphone with 360-degree voice pickup","Standard","audio_capture,boardroom","yealink_expansion"
"Displays & Projectors","ViewSonic","LS610HDHE 4000 Lumen Projector",1299.0,"1080p Short Throw LED Projector; 4,000 ANSI Lumens","Standard","classroom,meeting_room,visuals","short_throw"
"Projection Screens","Milan","123"" Motorized Screen",850.0,"123-inch diagonal motorized tab-tensioned projection screen","Standard","auditorium,boardroom","motorized_screen"
"Audio: Amplifiers","Helvia","HDMA-240D Amplifier",500.0,"240W Mixer Amplifier with Dante and multiple inputs","Economy","audio,classroom,small_auditorium","dante"
"Wireless Presentation","Barco","CX-50 Gen 2 ClickShare",4950.0,"Dual-screen wireless conferencing and presentation system for large rooms","Enterprise","boardroom,large_room","barco_clickshare"
"Cables & Connectivity","Extron","Cable Cubby 202",350.0,"Furniture-mountable enclosure for AV, data, and power connections","Standard","boardroom,meeting_room","cable_management"
"Video Conferencing","Lenovo","ThinkSmart Core + Controller Kit",2199.0,"Pre-configured compute device and 10.1"" touch controller for meeting rooms","Standard","boardroom,meeting_room","lenovo_thinksmart,teams,zoom"
"PTZ & Pro Video Cameras","Crestron","1 Beyond i12 PTZ Camera",2800.0,"12x optical zoom PTZ camera with intelligent auto-tracking","Premium","auditorium,large_room,video_capture","crestron_control"
"Audio: DSP","Extron","DMP 64 Plus C AT Processor",1590.0,"6x4 audio mixer with AEC and Dante connectivity","Premium","audio,boardroom,meeting_room","aec,dante"
"Wireless Presentation","Extron","ShareLink Pro 1100",1890.0,"Wireless and wired presentation gateway; supports 4K content","Premium","boardroom,meeting_room","byod"
"Displays & Projectors","Samsung","VH55R-R 55"" Video Wall Display",2850.0,"700 nits brightness; Extremely narrow 0.44mm even bezel for seamless video walls","Enterprise","lobby,video_wall,visuals","samsung_magicinfo"
"Audio: Amplifiers","Crown","DCi 4|600N Power Amplifier",2900.0,"4-channel, 600W power amplifier with BLU link and Dante","Enterprise","audio,auditorium,large_venue","dante"
"Video Conferencing","Poly","G7500 4K Codec",4500.0,"Modular 4K video conferencing codec for integrating custom cameras and audio","Enterprise","boardroom,custom_room","poly_lens"
"Control Systems & Processing","Crestron","CP4N 4-Series Control Processor",3800.0,"4-Series control engine; Supports Crestron HTML5 UI; BACnet/IP support","Enterprise","auditorium,boardroom","crestron_control"
"UC & Collaboration Devices","Logitech","Rally Bar",3999.0,"All-in-one 4K video bar; AI Viewfinder with auto-framing; Integrated speakers and microphones; USB and Appliance mode","Standard","collaboration,medium_room","logitech_sync,teams,zoom"
"Displays & Projectors","Samsung","85"" Professional Display for the content and far-end video.",3800.0,"Samsung QM85C","Premium","large_room,visuals","samsung_magicinfo"
"Displays & Projectors","Arthur Holms","Pop-up monitors at the end of the table.",1200.0,"Arthur Holms","Premium","boardroom,interactive",""
"Video Conferencing","Poly","Poly G7500 VIDEO CONFERENCING SYSTEM with E70 Camera.",8999.0,"Poly G7500 with E70 Camera","Enterprise","boardroom,collaboration,large_room","poly_lens"
"Audio: Microphones & Conferencing","Generic","Table Microphone with mute/unmute button.",150.0,"Generic Tabletop Mic","Economy","audio_capture,meeting_room",""
"Displays & Projectors","Samsung","75"" Professional Display for the content and far-end video.",2400.0,"Samsung QM75C","Premium","large_room,visuals","samsung_magicinfo"
"Video Conferencing","Poly","Poly X70 All-in-one video bar with native Zoom Support Camera, Speaker, and Microphone.",4500.0,"Poly X70","Premium","collaboration,large_room","poly_lens,zoom"
"Audio: Microphones & Conferencing","Generic","Ceiling Tile Microphones",800.0,"Powder coated to blend with the decor.","Standard","audio_capture,meeting_room",""
"Displays & Projectors","Samsung","55"" Professional Display.",1100.0,"Samsung QM55C","Standard","medium_room,visuals","samsung_magicinfo"
"Video Conferencing","Poly","Poly X30 All-in-one video bar with native Zoom Support.",1800.0,"Poly X30","Economy","collaboration,huddle_room","poly_lens,zoom"
"Video Conferencing","Poly","Poly P15 All-in-one video bar.",599.0,"Used if the Partner wants to join the meeting from his Desk.","Economy","personal,huddle_room","poly_lens"
"Video Conferencing","Cisco","Cisco IP Phone.",350.0,"Client's Supply.","Standard","audio,personal","cisco,webex"
"Displays & Projectors","Generic","Large format 2x2 LED thin Bezel Videowall.",12000.0,"Option 1","Enterprise","lobby,video_wall,visuals",""
"Projection Screens","Generic","Projection Tab-Tensioned Screen with Short throw LED Projector.",3500.0,"Option 2.","Standard","boardroom,classroom","short_throw"
"Displays & Projectors","Generic","Confidence Monitor for Townhall Presenter.",850.0,"Confidence Monitor","Standard","auditorium,presentation,visuals",""
"Audio: Speakers","JBL","JBL C64P/T Pendant Speaker",150.0,"Distributed Speakers for Uniform Sound Coverage.","Standard","audio,auditorium,large_room",""
"Cables & Connectivity","Crestron","CRESTRON USB & HDMI Wall Plate Connectivity.",250.0,"Crestron","Premium","boardroom,meeting_room","crestron_control,hdmi,usb"
"Audio: Speakers","JBL","Pendant Speakers.",150.0,"Two speakers on the side of the wall.","Standard","audio,signage",""
"UC & Collaboration Devices","Oblong","Oblong Mezzanine 650 solution kit.",25000.0,"Oblong Mezzanine 650","Enterprise","boardroom,collaboration,large_room","oblong"
"Displays & Projectors","Generic","Large Direct LED Screen.",35000.0,"7m width, 1.35m height, 1.2mm pixel pitch (23x4 tile).","Enterprise","auditorium,video_wall,visuals",""
"Displays & Projectors","Generic","65"" display.",1600.0,"At the back side.","Standard","medium_room,visuals",""
"Video Conferencing","Cisco","VC unit.",8000.0,"Cisco WebEx codec Pro.","Enterprise","collaboration,custom_room","cisco,webex"
"PTZ & Pro Video Cameras","Oblong","Camera.",1200.0,"Oblong dedicated IP camera mounted on the ceiling.","Premium","video_capture","oblong"
"Control, Matrix & Extenders","Generic","32x32 matrix switcher.",15000.0,"To achieve redundancy and flexibly of having more inputs.","Enterprise","auditorium,custom_room",""
"Displays & Projectors","Generic","86"" LED Displays.",4200.0,"With HDMI connectivity for Presentation.","Premium","large_room,visuals",""
"Video Conferencing","Cisco","Cisco WebEx codec pro.",8000.0,"For video conferencing.","Enterprise","collaboration,custom_room","cisco,webex"
"PTZ & Pro Video Cameras","Generic","PTZ Cameras.",1500.0,"To capture Presenter and Audience.","Standard","auditorium,video_capture",""
"Video Conferencing","Cisco","70"" Cisco WebEx board Display.",9500.0,"With HDMI connectivity on the table.","Enterprise","boardroom,collaboration,interactive,large_room","cisco,webex"
"Displays & Projectors","Generic","LED display.",600.0,"With on table HDMI connectivity.","Economy","huddle_room,visuals",""
"PTZ & Pro Video Cameras","Generic","Video Recording Camera.",800.0,"Placed on Ceiling.","Standard","video_capture",""
"Audio: Microphones & Conferencing","Generic","Lapel Microphone.",120.0,"For user, so that person can come and record a video on just a one clicks of a button or remote.","Economy","audio_capture,presentation",""
"Displays & Projectors","LG","Samsung XU9077 Displays",1395.49,"Generated Model","Standard","visuals",""
"Displays & Projectors","LG","Samsung BI2405 Displays",12840.78,"Generated Model","Enterprise","large_room,visuals",""
"Displays & Projectors","Sony","LG JB4775 Displays",8534.33,"Generated Model","Enterprise","large_room,visuals",""
"Displays & Projectors","Sony","LG XG2248 Displays",5206.82,"Generated Model","Premium","medium_room,visuals",""
"Displays & Projectors","Panasonic","Sony JR8648 Displays",13123.72,"Generated Model","Enterprise","large_room,visuals",""
"Displays & Projectors","Panasonic","Sony KE3192 Displays",8142.48,"Generated Model","Enterprise","large_room,visuals",""
"Displays & Projectors","Sharp/NEC","Panasonic UK4740 Displays",2892.4,"Generated Model","Standard","medium_room,visuals",""
"Displays & Projectors","Sharp/NEC","Panasonic RS3255 Displays",4836.67,"Generated Model","Premium","medium_room,visuals",""
"UC & Collaboration Devices","Logitech","Panasonic OU3930 Displays",1344.88,"Generated Model","Standard","collaboration,medium_room,visuals","logitech_sync"
"UC & Collaboration Devices","Logitech","Sharp/NEC MO5304 Displays",2978.21,"Generated Model","Standard","collaboration,medium_room,visuals","logitech_sync"
"UC & Collaboration Devices","Poly (HP)","Sharp/NEC ID3564 Displays",9683.49,"Generated Model","Premium","collaboration,large_room,visuals","poly_lens"
"UC & Collaboration Devices","Poly (HP)","Sharp/NEC JL6902 Displays",12903.69,"Generated Model","Premium","collaboration,large_room,visuals","poly_lens"
"UC & Collaboration Devices","Cisco","Sharp/NEC ZA8887 Displays",9352.14,"Generated Model","Enterprise","collaboration,large_room,visuals","webex"
"UC & Collaboration Devices","Cisco","Logitech YV5527 UC",921.49,"Generated Model","Enterprise","collaboration","webex"
"UC & Collaboration Devices","Jabra","Logitech AL8076 UC",1461.25,"Generated Model","Standard","collaboration","logitech_sync"
"UC & Collaboration Devices","Jabra","Poly (HP) BA1800 UC",1804.83,"Generated Model","Premium","collaboration","poly_lens"
"UC & Collaboration Devices","Yealink","Poly (HP) TE5799 UC",1227.11,"Generated Model","Standard","collaboration","poly_lens"
"UC & Collaboration Devices","Yealink","Poly (HP) FE4153 UC",1248.64,"Generated Model","Standard","collaboration","poly_lens"
"PTZ & Pro Video Cameras","Sony (PTZ)","Poly (HP) VZ7586 UC",1224.23,"Generated Model","Premium","collaboration,video_capture","poly_lens"
"PTZ & Pro Video Cameras","Sony (PTZ)","Cisco FQ8499 UC",1650.62,"Generated Model","Enterprise","collaboration,video_capture","webex"
"PTZ & Pro Video Cameras","Panasonic (PTZ)","Cisco FZ3426 UC",1931.57,"Generated Model","Enterprise","collaboration,video_capture","webex"
"PTZ & Pro Video Cameras","Panasonic (PTZ)","Jabra YZ347 UC",2477.53,"Generated Model","Standard","collaboration,video_capture",""
"PTZ & Pro Video Cameras","Canon (PTZ)","Jabra BW5781 UC",1503.73,"Generated Model","Standard","collaboration,video_capture",""
"PTZ & Pro Video Cameras","Canon (PTZ)","Jabra HO5800 UC",987.89,"Generated Model","Standard","collaboration,video_capture",""
"PTZ & Pro Video Cameras","BirdDog (NDI)","Yealink QL8491 UC",1980.24,"Generated Model","Standard","collaboration,video_capture",""
"PTZ & Pro Video Cameras","BirdDog (NDI)","Yealink MW5745 UC",2241.04,"Generated Model","Standard","collaboration,video_capture",""
"PTZ & Pro Video Cameras","Lumens","Sony (PTZ) ZC2836 PTZ",4474.34,"Generated Model","Premium","video_capture",""
"PTZ & Pro Video Cameras","Lumens","Sony (PTZ) AO3868 PTZ",2204.09,"Generated Model","Premium","video_capture",""
"Audio: Microphones & Conferencing","Shure (MXA/Stem)","Sony (PTZ) GE8838 PTZ",4951.69,"Generated Model","Premium","audio,audio_capture,video_capture",""
"Audio: Microphones & Conferencing","Shure (MXA/Stem)","Panasonic (PTZ) YC5921 PTZ",5881.18,"Generated Model","Premium","audio,audio_capture,video_capture",""
"Audio: Microphones & Conferencing","Biamp (Parlé/Tesira)","Panasonic (PTZ) XZ3667 PTZ",4111.45,"Generated Model","Premium","audio,audio_capture,video_capture",""
"Audio: Microphones & Conferencing","Biamp (Parlé/Tesira)","Canon (PTZ) MW9268 PTZ",5169.17,"Generated Model","Premium","audio,audio_capture,video_capture",""
"Audio: Microphones & Conferencing","Sennheiser (TCC2)","Canon (PTZ) VU8869 PTZ",3391.86,"Generated Model","Premium","audio,audio_capture,video_capture",""
"Audio: Microphones & Conferencing","Sennheiser (TCC2)","BirdDog (NDI) CN3307 PTZ",5707.95,"Generated Model","Premium","audio,audio_capture,video_capture",""
"Audio: Microphones & Conferencing","QSC (NM-T1)","BirdDog (NDI) PO3725 PTZ",4557.53,"Generated Model","Enterprise","audio,audio_capture,video_capture","q_sys"
"Audio: Microphones & Conferencing","QSC (NM-T1)","Lumens XG1997 PTZ",4628.71,"Generated Model","Enterprise","audio,audio_capture,video_capture","q_sys"
"Audio: Microphones & Conferencing","Audio-Technica","Lumens VB2192 PTZ",4355.26,"Generated Model","Standard","audio,audio_capture,video_capture",""
"Audio: Microphones & Conferencing","Audio-Technica)","Shure (MXA/Stem) PO7570 Audio: Microphones",2930.5,"Generated Model","Standard","audio,audio_capture",""
"Audio: Speakers","QSC","Shure (MXA/Stem) VQ7358 Audio: Microphones",2127.32,"Generated Model","Enterprise","audio,audio_capture","q_sys"
"Audio: Speakers","QSC","Biamp (Parlé/Tesira) VX4954 Audio: Microphones",1663.0,"Generated Model","Enterprise","audio,audio_capture","q_sys"
"Audio: Speakers","Biamp (Desono)","Biamp (Parlé/Tesira) WN4896 Audio: Microphones",2641.83,"Generated Model","Premium","audio,audio_capture",""
"Audio: Speakers","Biamp (Desono)","Sennheiser (TCC2) DY2384 Audio: Microphones",1095.1,"Generated Model","Premium","audio,audio_capture",""
"Audio: Speakers","JBL","Sennheiser (TCC2) UD632 Audio: Microphones",580.13,"Generated Model","Standard","audio,audio_capture",""
"Audio: Speakers","JBL","QSC (NM-T1) KP5152 Audio: Microphones",281.27,"Generated Model","Standard","audio,audio_capture","q_sys"
"Audio: Speakers","Bose","QSC (NM-T1) ND9386 Audio: Microphones",3069.7,"Generated Model","Standard","audio,audio_capture","q_sys"
"Audio: Speakers","Bose","QSC (NM-T1) SO819 Audio: Microphones",1641.84,"Generated Model","Standard","audio,audio_capture","q_sys"
"Audio: Speakers","Extron","Audio-Technica CD3401 Audio: Microphones",574.36,"Generated Model","Premium","audio,audio_capture",""
"Audio: Speakers","Extron","Audio-Technica CH2804 Audio: Microphones",3058.63,"Generated Model","Premium","audio,audio_capture",""
"Extracted from Project","SAMSUNG","50"" UHD Display",2855.93,"SAMSUNG QM50C","Standard","visuals","samsung_magicinfo"
"Extracted from Project","Chief","Fixed Wall Mount",2513.71,"Chief LSM1U","Standard","","vesa"
"Extracted from Project","Poly","X30 All-In-One Video Bar with TC8 Controller Kit",2970.61,"Poly 83Z46AA","Economy","collaboration","poly_lens,teams,zoom"
"Extracted from Project","SAMSUNG","65"" UHD Display",3321.35,"SAMSUNG QM65C","Standard","medium_room,visuals","samsung_magicinfo"
"Extracted from Project","Poly","X52 All-In-One Video Bar with TC10 Controller Kit",4850.31,"Poly 8D8L1AA","Standard","collaboration","poly_lens,teams,zoom"
"Extracted from Project","SAMSUNG","55"" UHD Display",4785.86,"SAMSUNG QM55C","Standard","medium_room,signage,visuals","samsung_magicinfo"
"Extracted from Project","SAMSUNG","85"" UHD Display",1674.31,"SAMSUNG QM85C","Premium","large_room,visuals","samsung_magicinfo"
"Extracted from Project","Poly","Poly Studio X70 All-In-One Video Bar with TC10 Controller Kit INDIA",4833.58,"Poly 8L531AA","Premium","collaboration","poly_lens,teams,zoom"
"Extracted from Project","Poly","Poly Studio X50/X52/X70/USB Table Microphone",2790.39,"Poly 875M6AA","Standard","audio_capture","poly_x_series"
"Extracted from Project","Samsung","4K Display",2494.39,"Samsung QM98T","Enterprise","visuals","samsung_magicinfo"
"Extracted from Project","Chief","Standard Wall Mount",4469.75,"Chief XSM1U","Premium","","vesa"
"Extracted from Project","Poly","HP Mini Conference G9 PC with Zoom Rooms",4358.82,"Poly 9C422AW","Standard","collaboration","zoom_rooms"
"Extracted from Project","Poly","Poly TC10 Black Touch Controller",3506.49,"Poly 875K5AA","Premium","collaboration","poly_lens,teams,zoom"
"Extracted from Project","Poly","Poly Studio E70 Smart Camera",1340.57,"Poly 875K6AA","Premium","video_capture","poly_lens"
"Extracted from Project","SHURE","Access point for microphone",4911.21,"SHURE MXWAPT2=-Z11","Premium","audio_capture","shure_mxw"
"Extracted from Project","SHURE","Charging Station",4918.42,"SHURE MXWNCS2-IN","Premium","audio_capture","shure_mxw"
"Extracted from Project","SHURE","Handheld Mic",4128.46,"SHURE MXW2/SM58--211","Premium","audio_capture","shure_mxw"
"Extracted from Project","Shure","Lapel Mic",1658.07,"Shure MXW1/0=-211","Premium","audio_capture","shure_mxw"
"Extracted from Project","Shure","Lavalier Mic",1186.72,"Shure UL4B/C-MTQG-A","Premium","audio_capture",""
"Extracted from Project","Q-SYS","DSP/Controller",4287.48,"Q-SYS CORE110F","Enterprise","audio","dante,q_sys"
"Extracted from Project","Q-SYS","Licence",2776.43,"Q-SYS SLQSE-110-P","Enterprise","","q_sys"
"Extracted from Project","Cisco","POE+ Network Switch.",4899.28,"Cisco CBS350-24P-4G","Premium","","poe+"
"Extracted from Project","Kramer","Transmitter",3368.12,"Kramer TP-580TXR","Standard","","hdbaset"
"Extracted from Project","Kramer","Receiver",2690.62,"Kramer TP-580RXR","Standard","","hdbaset"
"Extracted from Project","Extron","HDMI Scaler",2811.45,"Extron IN1804","Premium","","dtp"
"Extracted from Project","Cue","Room Scheduler",4813.13,"Cue touchONE-7-M","Standard","","room_booking"
"Extracted from Project","NEAT","Tocch Control",3039.99,"NEATPAD-SE","Premium","","neat_os"
"Extracted from Project","NEAT","65 Collaborative Screen",1271.79,"NEATBOARDSE-","Premium","collaboration,interactive,medium_room,visuals","neat_os"
"Extracted from Project","Neat","Wall Mount option for Screen",2271.29,"NEATBOARDWM","Standard","","neat_board"
"Extracted from Project","Neat","Option2 - For Mounting the above Screen",4028.18,"NEATBOARD-FLOORSTAND","Premium","","neat_board"
"Extracted from Project","DTEN","DTEN AIO Display",4752.41,"DTEN AIO Interactive 55"" Display","Standard","collaboration,interactive,medium_room,visuals","dten_os,zoom"
"Extracted from Project","Chief","Mounting",1956.12,"Chief MTM1U","Standard","","vesa"
"Extracted from Project","Logitech","Logitech TAP IP Controller",3062.06,"Logitech TAP IP Controller","Standard","collaboration","logitech_sync,teams,zoom"
"Extracted from Project","Logitech","Logitech Tap Scheduler",2226.79,"Logitech Tap Scheduler","Standard","","logitech_sync,room_booking"
"Extracted from Project","LG","LG 65UH5N Displays",4230.9,"LG 65UH5N","Premium","medium_room,visuals","lg_supersign"
"Extracted from Project","BRIGHTSIGN","BRIGHTSIGN XT-1145 Media Players",1182.85,"BRIGHTSIGN XT-1145","Premium","","brightsign"
"Extracted from Project","LG","LG 55UH5N Display",2576.47,"LG 55UH5N","Premium","medium_room,visuals","lg_supersign"
"Extracted from Project","Logitech","Logitech Rally Bar Huddle",2804.83,"Logitech Rally Bar Huddle","Economy","collaboration,huddle_room","logitech_sync,teams,zoom"
"Extracted from Project","LG","Dual LG 75UH5J Displays",3613.91,"LG 75UH5J","Premium","large_room,visuals","lg_supersign"
"Extracted from Project","Logitech","Logitech Rally Plus System",4401.76,"Logitech Rally Plus","Premium","collaboration,large_room","logitech_sync,teams,zoom"
"Extracted from Project","Q-SYS","Q-SYS Audio System",3094.75,"Q-SYS Core 110F DSP","Enterprise","audio","dante,q_sys"
"Extracted from Project","LG","LG 110"" Display",3077.77,"LG 110"" Display","Enterprise","large_room,visuals",""
"Extracted from Project","QSC","QSC Encoders/Decoders",432.88,"QSC","Enterprise","","q_sys"
"Extracted from Project","BrightSign","BrightSign Player",3613.56,"BrightSign","Premium","","brightsign"
"Extracted from Project","QSC","QSC Cameras",1087.67,"QSC","Enterprise","video_capture","q_sys"
"Extracted from Project","Shure","Shure Mics",3592.51,"Shure","Premium","audio_capture",""
"Extracted from Project","Logitech","Logitech TAP controller",4938.87,"Logitech TAP","Standard","collaboration","logitech_sync"
"Extracted from Project","Yealink","Display",4497.66,"Samsung QB65C","Standard","medium_room,visuals","samsung_magicinfo"
"Extracted from Project","Yealink","Yealink A30 Video Bar",2958.82,"Yealink A30","Standard","collaboration","teams,yealink_mgr"
